Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
11,2,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/SC/Oak Ridge National Laboratory,IBM,United States,2018,Research,"2,414,592","2,211,840","148,600.00","200,794.88","10,096.00",Submitted,14.72,,3,,,Cluster,IBM POWER9 22C 3.07GHz,Power,"3,070",RHEL 7.4,Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"48,553",179397
12,11,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",CINECA,IBM,Italy,2019,Academic,"347,776","316,160","21,640.00","29,354.00","1,476.00",Submitted,14.66,,,,,Cluster,IBM POWER9 16C 3GHz,Power,"3,000",RHEL 7.6,Linux,Nvidia Volta V100,16,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"47,495",179845
13,14,AI Bridging Cloud Infrastructure (ABCI),"PRIMERGY CX2570 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2018,Research,"391,680","348,160","19,880.00","32,576.63","1,649.25",Optimized,14.42,Optimized,2,"16,858.55","1,168.84",Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY CX2570 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"50,762",179393
14,31,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,"135,828","120,736","8,125.00","12,127.07",792.08,Optimized,13.70,Optimized,1,"7,027.00",512.77,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Asia,"47,912",179093
15,18,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,"291,024","270,720","17,860.00","25,025.81","1,367.00",Submitted,13.07,,1,,,Cluster,IBM POWER9 18C 3.45GHz,Power,"3,450",RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"49,546",179689
16,456,Jade2,"Nvidia DGX1-MaxQ, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",University of Oxford,Atos,United Kingdom,2020,Academic,"42,840","40,320","1,473.00","3,931.20",113.00,Submitted,13.04,,1,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",Linux,Linux,NVIDIA Tesla V100 SXM2,20,Intel Xeon E5 (Broadwell),Nvidia DGX1-MaxQ,Nvidia DGX1-MaxQ,Infiniband,Mellanox HDR Infiniband,Europe,"50,702",179867
17,3,Sierra,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,"1,572,480","1,382,400","94,640.00","125,712.00","7,438.28",Submitted,12.72,,2,,,Cluster,IBM POWER9 22C 3.1GHz,Power,"3,100",Red Hat Enterprise Linux,Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"49,763",179398
18,66,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,"163,840","131,072","4,325.00","6,134.17",380.00,Submitted,11.38,,,,,Cluster,Hygon Dhyana 32C 2GHz,X86_64,"2,000",CentOS,Linux,Deep Computing Processor,32,Hygon Dhyana,Sugon TC8600,Sugon Cluster,Gigabit Ethernet,200Gb 6D-Torus,Asia,"50,797",179593
19,28,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,"170,352","161,280","9,000.00","15,208.23",797.54,Submitted,11.28,,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,"3,000",CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Asia,"48,468",179590
20,89,Cedar (GPU),"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,"67,584","61,440","3,371.00","5,834.40",310.00,Submitted,10.87,,1,,,Cluster,Xeon Silver 4216 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Silver,PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179859
21,474,,"Inspur TS10000 HPC Server, Xeon Gold 6226 12C 2.7GHz, Infiniband HDR, NVIDIA Tesla V100",Central China Normal University,Inspur,China,2018,Research,"25,232","24,320","1,411.00","2,226.56",130.00,Submitted,10.85,,,,,Cluster,Intel Xeon Gold 6226 12C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,Infiniband HDR,Asia,"50,763",179399
22,36,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",Group 42,Nvidia,United Arab Emirates,2019,Industry,"107,568","103,680","7,257.00","9,492.16",673.00,Submitted,10.78,,1,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Ubuntu Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum,NVIDIA DGX-2,NVIDIA DGX,Infiniband,Infiniband EDR,Asia,"50,813",179803
23,12,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),Cray/HPE,Switzerland,2017,Research,"387,872","319,424","21,230.00","27,154.30","2,384.24",Optimized,10.40,Optimized,3,"16,960.00","1,631.13",MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"50,422",177824
24,291,szaisystem,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Infiniband EDR",Suzhou SC center,Sugon,China,2019,Industry,"30,600","27,200","1,814.00","2,674.10",180.00,Submitted,10.08,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,812",179713
25,23,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,"253,600","177,520","12,210.00","18,621.14","1,320.00",Optimized,9.80,Optimized,1,"11,490.00","1,172.00",Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,"50,489",179444
26,188,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",Calcul Québec/Compute Canada,Dell EMC,Canada,2019,Academic,"72,480","55,040","2,278.00","7,494.78",240.00,Submitted,9.49,,2,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold,PowerEdge R640,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,"50,800",179605
27,91,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Facebook,Self-made,United States,2017,Industry,"60,512","55,552","3,307.00","4,896.51",349.50,Submitted,9.46,,2,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",Ubuntu Linux,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1/Relion 2904GT,Hybrid Cluster,Infiniband,Infiniband EDR,North America,"50,701",179068
28,92,DGX Saturn V,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",NVIDIA Corporation,Nvidia,United States,2016,Vendor,"60,512","55,552","3,307.00","4,896.51",349.50,Submitted,9.46,,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",Ubuntu 14.04,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1,NVIDIA DGX,Infiniband,Infiniband EDR,North America,"48,448",178928
29,463,,"Huawei G5500, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, 100G Ethernet",Chinese Bank A,Huawei,China,2018,Others,"26,180","24,640","1,432.90","2,153.54",159.94,Submitted,8.96,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",Linux,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Huawei G5500,Huawei Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,794",179573
30,97,Fênix,"Bull 4029GP-TVRT, Xeon Gold 5122 4C 3.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2019,Industry,"60,480","57,600","3,161.00","5,371.78",389.76,Submitted,8.11,,,,,Cluster,Xeon Gold 5122 4C 3.6GHz,Intel Skylake,"3,600",CentOS,Linux,NVIDIA Tesla V100,4,Xeon Gold,Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,"49,587",179681
31,216,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service U,Sugon,China,2019,Others,"44,032","40,960","2,087.00","3,843.38",260.00,Submitted,8.03,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,777",179730
32,253,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G Ethernet, NVIDIA Tesla V100",Energy Company,Sugon,China,2019,Industry,"41,280","38,400","1,963.00","3,603.46",245.00,Submitted,8.01,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,417",179783
33,235,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,"42,312","39,360","2,003.00","3,693.54",250.00,Submitted,8.01,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,598",179731
34,65,Atlas,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2020,Industry,"91,936","87,040","4,376.00","8,848.49",546.58,Submitted,8.01,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",CentOS,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,"49,587",179854
35,495,Cedar,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path, NVIDIA Tesla P100",Simon Fraser University/Compute Canada,Dell EMC,Canada,2017,Academic,"35,712","32,256","1,337.00","2,863.41",167.00,Submitted,8.01,,1,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179113
36,210,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Xinjiang SC Center,Sugon,China,2019,Government,"44,720","41,600","2,115.00","3,903.43",265.00,Submitted,7.98,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,790",179729
37,483,GCloud,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",MCloud Company,Sugon,China,2018,Industry,"30,624","28,160","1,389.00","2,459.00",176.00,Submitted,7.89,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,788",179554
38,286,JGV100System,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,"41,760","38,400","1,825.00","3,353.18",240.00,Submitted,7.60,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179555
39,327,,"Sugon TC6000, AMD Epyc 7501 32C 2GHz, AMD Vega 20, Infiniband HDR",Pukou Advanced Computing Center,Sugon,China,2019,Industry,"100,800","89,600","1,661.00","2,472.96",260.00,Submitted,6.39,,,,,Cluster,AMD Epyc 7501 32C 2GHz,AMD Zen (Naples),"2,000",CentOS,Linux,AMD Vega 20,32,AMD Naples,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband HDR,Asia,"50,818",179801
40,4,Sunway TaihuLight,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",National Supercomputing Center in Wuxi,NRCPC,China,2016,Research,"10,649,600",,"93,014.59","125,435.90","15,371.00",Submitted,6.05,,2,,,MPP,Sunway SW26010 260C 1.45GHz,ShenWei,"1,450",Sunway RaiseOS 2.0.5,Linux,None,260,Sunway,Sunway MPP,Sunway Cluster,Custom Interconnect,Sunway,Asia,"50,623",178764
41,468,XJSCSystem,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, Infiniband FDR",Xinjiang SC Center,Sugon,China,2018,Government,"30,240","26,880","1,418.00","2,413.82",240.00,Submitted,5.91,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband FDR,Asia,"50,790",179557
42,494,Earth Bigdata,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2019,Academic,"24,000",,"1,344.00","1,920.00",230.00,Submitted,5.84,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",CentOS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"47,553",179683
43,140,,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100",Deutscher Wetterdienst,NEC,Germany,2020,Research,"14,848",,"2,595.60","4,359.98",456.62,Submitted,5.68,,3,,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,"1,584",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,InfiniBand HDR 100,Europe,"47,712",179872
44,429,Bell,"PowerEdge C6525, AMD EPYC 7662 64C 2GHz, Mellanox InfiniBand HDR100",Purdue University,Dell EMC,United States,2020,Academic,"59,520",,"1,623.70","1,904.64",314.60,Submitted,5.16,,2,,,Cluster,AMD EPYC 7662 64C 2GHz,AMD Zen-2 (Rome),"2,000",CentOS,Linux,None,64,AMD Rome,PowerEdge C6525,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR100,North America,"48,657",179879
45,33,Plasma Simulator,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",National Institute for Fusion Science (NIFS),NEC,Japan,2020,Research,"34,560",,"7,892.70","10,510.66","1,550.10",Submitted,5.09,,1,,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,"1,584",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR 200,Asia,"48,476",179871
46,68,Oakbridge-CX,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2019,Academic,"76,608",,"4,289.85","6,618.93",845.09,Submitted,5.08,,2,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),Fujitsu PRIMERGY CX2550/CX2560 M5,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,"50,096",179606
47,54,MAHTI,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2020,Academic,"169,728",,"5,388.52","7,060.68","1,070.00",Submitted,5.04,,2,,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,"47,508",179855
48,22,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,"556,104",,"13,554.60","24,913.46","2,718.70",Submitted,4.99,,2,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Linux,Linux,None,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Asia,"50,673",178932
49,16,Hawk,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",HLRS - Höchstleistungsrechenzentrum Stuttgart,HPE,Germany,2020,Research,"698,880",,"19,334.00","25,159.68","3,905.83",Submitted,4.95,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",CentOS Linux 8.1,Linux,None,64,AMD Rome,Apollo 9000,HP Apollo,Infiniband,Mellanox HDR Infiniband,Europe,"50,543",179880
50,212,MagicCube3,"Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100",Shanghai Supercomputer Center,Sugon,China,2019,Research,"40,960","5,120","2,109.00","3,434.09",430.00,Submitted,4.90,,,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Omnipath,Intel Omni-Path,Asia,"49,697",179695
51,30,Taranis,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",Meteo France,Atos,France,2020,Research,"294,912",,"8,191.03","10,321.92","1,672.00",Submitted,4.90,,1,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,"48,356",179892
